"TASK","TIME","COST","LIFE AREA"
"wakeup","6:28am","",""
"idle","6:31am","",""
"turn on kettle"," 6:33am","",""
"uu","6:48am","",""
"poweron extension"," 6:50am","",""
"prep water"," 6:52","",""
"take warm water and mx3","  6:54","",""
"refill water containers","  6:56am","",""
"assemble juicer "," 06:59 AM","",""
"charge devices ","  7:01am","",""
"do followup on sked for aircon cleaning"," 7:21am","",""
"take warm water while dress for walking / wear headset / audiobook / wear socks"," 7:27am","",""
"prep lemon water and/or coffee with vco and chia seeds ","  7:30am","",""
"fix bed and blanket","7:38am","",""
"repark Crosswind near gate"," 7:42am","",""
"proceed to Moonwalk"," 7:52am","",""
"pay for carrots"," 7:55am","-200",""
"proceed to Puregold"," 7:57am","",""
"wait to.open"," 8am","",""
"receive money (withdraw from Chinabank ATM)"," 8:02am","10000",""
"proceed to nut and fruit stand"," 8:04am","",""
"pay for mani and squash seeds"," 8:06am","-315",""
"pay for lemon"," 8:08am","-40",""
"proceed to Lp home"," 8:14am","",""
"pay for LPG to Mama"," 8:16","-940",""
"pay for Dennis (2 day work last week at bodega)"," 8:18am","-900",""
"dress down / rest"," 8:26am","",""
"get food for MMT"," 8:30am","",""
"eat hopia"," 8:35am","",""
"prep mx3.coffee"," 8:38am","",""
"check iphone/inform Ariel re Jacob DFA appointment "," 08:45 AM","",""
"play with Yanna"," 8:58am","",""
"open Mac mini"," 9am","",""
"consult chatgpt for csv importing "," 09:08 AM","",""
"talk with seller from Madrigal"," 9:28am","",""
"check dt balance and share DT to Ludy"," 9:49am","",""
"retry usage of Flying Logic"," 9:59am","",""
"wash peel and slice carrots"," 11:30am","",""
"idle / listen to Koolpals podcast with MMT"," 11:37am ","",""
"get stuff at underbed"," 12:03pm","",""
"eat lunch with Jacob and MMT"," 12:15PM","",""
"talk with mama RE: ATE BETTY to Baguio","12:22pm","",""
"return underbed stuff "," 12:30 PM","",""
"check hard disks","12:35pm","",""
"organize taklen stuff from underbed"," 12:48pm","",""
"check hdds"," 3:30pm","",""
"inquire with pc stores on availablity of nas drives"," 4pm","",""
"inquire with Louie of BPC re sked tomorrow","4:10pm","",""
"continue research on compatibility of Nas drives and raid configurations"," 4:25pm","",""
"talk with Kuya Ed and Ludy re sked for tomorrow"," 4:33pm","",""
"prep to leave"," 4:43PM","",""
"travel time to Dynaquest PC "," 05:14 PM","",""
"wait for turn to order"," 5:26pm","",""
"pay via credit card for 6tb Nas drive ( 6195 effectively 5450 ) over 6 months","5:32 pm","0",""
"pay cash for additional only to credit card"," 5:34pm","-1195",""
"travel time to Unioil gas station"," 5:38pm","",""
"load diesel","5:42pm","-500",""
"chat with Banapple ATC thru viber re: issue with paymemt yesterday"," 5:47pm","",""
"travel time to LP home "," 06:15 PM","",""
"bring stuff up"," 6:19pm","",""
"dress down "," 06:22 PM","",""
"turn on mac mini","  6:24pm","",""
"do research and check on Logitech K400"," 7pm","",""
"keep stuff at cabinet"," 7:15pm","",""
"recheck on hdds"," 7:21pm","",""
"eat dinner"," 7:36pm","",""
"prep turmeric juice with lemon"," 7:41pm","",""
"make carrot juice "," 08:23 PM","",""
"wash utensils "," 08:45 PM","",""
"continue rechecking hdd"," 9:20pm","",""
"start freeing up old 2tb","  9:28pm","",""
"take warm bath "," 09:54 PM","",""
"watch pinoy henyo while transferring files"," 10:47pm","",""
"pray evening prayers"," 10:57pm","",""
"power off extension / return to neutral routine"," 11:01pm","",""
"prep to sleep","11:06pm","",""
"sleep ","11:11pm","",""